"UnitMass","ProductName","tvaluesold","tquantitysold","tkgsold","avgprice","highestprice","date"
"1.5KG TRAY","BLACK GEM,CL 1,*,*,*",6048,504,756,12,12,2015-01-07
"1.5KG TRAY","CRIMSON SEEDLESS,CL 1,*,*,*",13364,828,1242,16.14,18,2015-01-07
"1.5KG TRAY","DAN-BEN-HANNA,CL 1,*,*,*",740,37,55.5,20,20,2015-01-07
"1.5KG TRAY","FLAME SEEDLESS,CL 1,*,*,*",7166,543,814.5,13.2,16,2015-01-07
"1.5KG TRAY","PRIME SEEDLESS,CL 1,*,*,*",24630,1488,2232,16.55,77,2015-01-07
"1.5KG TRAY","RALLI,CL 1,*,*,*",640,32,48,20,20,2015-01-07
"1.5KG TRAY","STARLIGHT,CL 1,*,*,*",5296,326,489,16.25,18,2015-01-07
"1.5KG TRAY","SUGRA13,CL 1,*,*,*",19664,1053,1579.5,18.67,20,2015-01-07
"1.5KG TRAY","SUGRAONE,CL 1,*,*,*",2498,136,204,18.37,20,2015-01-07
"1.5KG TRAY","THOMPSON SEEDLESS,CL 1,*,*,*",97180,5511,8266.5,17.63,20,2015-01-07
"1.5KG TRAY","VICTORIA,CL 1,*,*,*",4489,268,402,16.75,18,2015-01-07
"4.5KG WRAP TRAY","BLACK GEM,CL 1,*,*,*",9100,115,517.5,79.13,80,2015-01-07
"4.5KG WRAP TRAY","CRIMSON SEEDLESS,*,*,*,*",2480,31,139.5,80,80,2015-01-07
"4.5KG WRAP TRAY","DAN-BEN-HANNA,CL 1,*,*,*",9670,130,585,74.38,90,2015-01-07
"4.5KG WRAP TRAY","EVANS DELIGHT,CL 1,*,*,*",4720,57,256.5,82.81,90,2015-01-07
"4.5KG WRAP TRAY","FLAME SEEDLESS,CL 1,*,*,*",2720,34,153,80,80,2015-01-07
"4.5KG WRAP TRAY","PRIME SEEDLESS,CL 1,*,*,*",6040,82,369,73.66,90,2015-01-07
"4.5KG WRAP TRAY","RALLI,CL 1,*,*,*",7530,88,396,85.57,90,2015-01-07
"4.5KG WRAP TRAY","RED GLOBE,CL 1,*,*,*",65849,856,3852,76.93,110,2015-01-07
"4.5KG WRAP TRAY","REGAL,CL 1,*,*,*",120,2,9,60,60,2015-01-07
"4.5KG WRAP TRAY","STARLIGHT,CL 1,*,*,*",5370,64,288,83.91,90,2015-01-07
"4.5KG WRAP TRAY","SUGRA13,CL 1,*,*,*",10310,117,526.5,88.12,100,2015-01-07
"4.5KG WRAP TRAY","SUGRA16,CL 1,*,*,BLACK",450,5,22.5,90,90,2015-01-07
