Container,ProductName,TotalValueSold,TotalQuantitySold,TotalKgSold,AveragePrice,HighestPrice,Date
7KG POCKET,"VALENCIA,CL 1,L,*,*",713,49,343,14.55,15,2014-10-30
7KG POCKET,"MIDKNIGHT,CL 2,S,*,*",15480,844,5908,18.34,22,2014-10-30
6KG POCKET,"VALENCIA,CL 2,S,*,*",22724,1333,7998,17.05,24,2014-10-30
6KG POCKET,"VALENCIA,CL 2,XL,*,*",8678,474,2844,18.31,23,2014-10-30
10KG POCKET,"MIDKNIGHT,CL 2,XL,*,*",5600,160,1600,35,35,2014-10-30
6KG POCKET,"VALENCIA,CL 2,L,*,*",19034,888,5328,21.43,22,2014-10-30
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,105,*",2290,41,615,55.85,65,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",24960,443,6645,56.34,60,2014-10-30
6KG POCKET,"VALENCIA,CL 2,M,*,*",30746,1314,7884,23.4,24,2014-10-30
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,70,*",31500,525,7875,60,60,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",2760,46,690,60,60,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",5570,91,1365,61.21,70,2014-10-30
6KG POCKET,"DELTA SEEDLESS,CL 2,M,*,*",13000,520,3120,25,25,2014-10-30
6KG POCKET,"MIDKNIGHT,CL 2,L,*,*",19732,709,4254,27.83,28,2014-10-30
15KG CARTON TELESCOPIC,"DELTA SEEDLESS,CL 1,*,88,*",16800,240,3600,70,70,2014-10-30
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,88,*",5816,83,1245,70.07,72,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",3990,57,855,70,70,2014-10-30
15KG CARTON TELESCOPIC,"DELTA SEEDLESS,CL 1,*,72,*",14688,204,3060,72,72,2014-10-30
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,72,*",32667,453,6795,72.11,75,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",300,4,60,75,75,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",6900,90,1350,76.67,80,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,64,*",41175,525,7875,78.43,80,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",13035,165,2475,79,80,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,72,*",19460,244,3660,79.75,80,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",1920,24,360,80,80,2014-10-30
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,56,*",160,2,30,80,80,2014-10-30
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,55,*",23400,260,3900,90,90,2014-10-30
6KG POCKET,"DELTA SEEDLESS,CL 2,S,*,*",304,152,912,2,2,2014-11-06
7KG POCKET,"MIDKNIGHT,CL 2,S,*,*",1592,287,2009,5.55,13,2014-11-06
6KG POCKET,"MIDKNIGHT,CL 2,L,*,*",16,2,12,8,8,2014-11-06
6KG POCKET,"VALENCIA,CL 2,XL,*,*",9981,726,4356,13.75,28,2014-11-06
6KG POCKET,"VALENCIA,CL 2,L,*,*",31648,2121,12726,14.92,28,2014-11-06
6KG POCKET,"VALENCIA,CL 2,S,*,*",40584,2703,16218,15.01,22,2014-11-06
6KG POCKET,"VALENCIA,CL 2,M,*,*",21277,1118,6708,19.03,28,2014-11-06
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,50,*",2800,56,840,50,50,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,65,*",15600,260,3900,60,60,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",23340,389,5835,60,60,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,125,*",14460,241,3615,60,60,2014-11-06
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,65,*",39505,610,9150,64.76,90,2014-11-06
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,88,*",432,6,90,72,72,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",145,2,30,72.5,80,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",75,1,15,75,75,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",230,3,45,76.67,80,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",23840,307,4605,77.65,80,2014-11-06
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,60,*",44810,576,8640,77.8,90,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,48,*",2150,27,405,79.63,80,2014-11-06
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",88890,1113,16695,79.87,80,2014-11-06
