"7KG POCKET",7,"VALENCIA,CL 1,L,*,*",713,"49.00","343.00",14.55,15,2.08,2.14,2014-10-30
"7KG POCKET",7,"MIDKNIGHT,CL 2,S,*,*",15480,"844.00","5908.00",18.34,22,2.62,3.14,2014-10-30
"6KG POCKET",6,"VALENCIA,CL 2,S,*,*",22724,"1333.00","7998.00",17.05,24,2.84,4,2014-10-30
"6KG POCKET",6,"VALENCIA,CL 2,XL,*,*",8678,"474.00","2844.00",18.31,23,3.05,3.83,2014-10-30
"10KG POCKET",10,"MIDKNIGHT,CL 2,XL,*,*",5600,"160.00","1600.00",35,35,3.5,3.5,2014-10-30
"6KG POCKET",6,"VALENCIA,CL 2,L,*,*",19034,"888.00","5328.00",21.43,22,3.57,3.67,2014-10-30
"15KG CARTON TELESCOPIC",15,"MIDKNIGHT,CL 1,*,105,*",2290,"41.00","615.00",55.85,65,3.72,4.33,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 2,*,105,*",24960,"443.00","6645.00",56.34,60,3.76,4,2014-10-30
"6KG POCKET",6,"VALENCIA,CL 2,M,*,*",30746,"1314.00","7884.00",23.4,24,3.9,4,2014-10-30
"15KG CARTON OPEN TOP",15,"VALENCIA,CL 1,*,70,*",31500,"525.00","7875.00",60,60,4,4,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 1,*,105,*",2760,"46.00","690.00",60,60,4,4,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 2,*,88,*",5570,"91.00","1365.00",61.21,70,4.08,4.67,2014-10-30
"6KG POCKET",6,"DELTA SEEDLESS,CL 2,M,*,*",13000,"520.00","3120.00",25,25,4.17,4.17,2014-10-30
"6KG POCKET",6,"MIDKNIGHT,CL 2,L,*,*",19732,"709.00","4254.00",27.83,28,4.64,4.67,2014-10-30
"15KG CARTON TELESCOPIC",15,"DELTA SEEDLESS,CL 1,*,88,*",16800,"240.00","3600.00",70,70,4.67,4.67,2014-10-30
"15KG CARTON TELESCOPIC",15,"MIDKNIGHT,CL 1,*,88,*",5816,"83.00","1245.00",70.07,72,4.67,4.8,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 2,*,72,*",3990,"57.00","855.00",70,70,4.67,4.67,2014-10-30
"15KG CARTON TELESCOPIC",15,"DELTA SEEDLESS,CL 1,*,72,*",14688,"204.00","3060.00",72,72,4.8,4.8,2014-10-30
"15KG CARTON TELESCOPIC",15,"MIDKNIGHT,CL 1,*,72,*",32667,"453.00","6795.00",72.11,75,4.81,5,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 1,*,88,*",300,"4.00","60.00",75,75,5,5,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 2,*,64,*",6900,"90.00","1350.00",76.67,80,5.11,5.33,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 1,*,64,*",41175,"525.00","7875.00",78.43,80,5.23,5.33,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 1,*,56,*",13035,"165.00","2475.00",79,80,5.27,5.33,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 1,*,72,*",19460,"244.00","3660.00",79.75,80,5.32,5.33,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 1,*,48,*",1920,"24.00","360.00",80,80,5.33,5.33,2014-10-30
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 2,*,56,*",160,"2.00","30.00",80,80,5.33,5.33,2014-10-30
"15KG CARTON OPEN TOP",15,"VALENCIA,CL 1,*,55,*",23400,"260.00","3900.00",90,90,6,6,2014-10-30
"6KG POCKET",6,"DELTA SEEDLESS,CL 2,S,*,*",304,"152.00","912.00",2,2,0.33,0.33,2014-11-06
"7KG POCKET",7,"MIDKNIGHT,CL 2,S,*,*",1592,"287.00","2009.00",5.55,13,0.79,1.86,2014-11-06
"6KG POCKET",6,"MIDKNIGHT,CL 2,L,*,*",16,"2.00","12.00",8,8,1.33,1.33,2014-11-06
"6KG POCKET",6,"VALENCIA,CL 2,XL,*,*",9981,"726.00","4356.00",13.75,28,2.29,4.67,2014-11-06
"6KG POCKET",6,"VALENCIA,CL 2,L,*,*",31648,"2121.00","12726.00",14.92,28,2.49,4.67,2014-11-06
"6KG POCKET",6,"VALENCIA,CL 2,S,*,*",40584,"2703.00","16218.00",15.01,22,2.5,3.67,2014-11-06
"6KG POCKET",6,"VALENCIA,CL 2,M,*,*",21277,"1118.00","6708.00",19.03,28,3.17,4.67,2014-11-06
"15KG CARTON OPEN TOP",15,"VALENCIA,CL 1,*,50,*",2800,"56.00","840.00",50,50,3.33,3.33,2014-11-06
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 1,*,65,*",15600,"260.00","3900.00",60,60,4,4,2014-11-06
"15KG CARTON TELESCOPIC",15,"VALENCIA,CL 2,*,105,*",23340,"389.00","5835.00",60,60,4,4,2014-11-06
