"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"10KG JUMBLE CARTON","VALENCIA,CL 2,M,*,*",400,8,80,50,50,"2015-02-16"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S/M,*,*",150,3,30,50,50,"2015-02-16"
"15KG CARTON OPEN TOP","NAVEL,CL 1,*,72,*",68760,764,11460,90,90,"2015-02-16"
"15KG CARTON TELESCOPIC","NAVEL,CL 2,*,72,*",18400,160,2400,115,115,"2015-02-16"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",300,2,30,150,150,"2015-02-16"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",4960,31,465,160,160,"2015-02-16"
"6KG POCKET","NAVEL,CL 1,L,*,*",24372,730,4380,33.39,34,"2015-02-16"
"6KG POCKET","NAVEL,CL 1,XL,*,*",1728,48,288,36,36,"2015-02-16"
"6KG POCKET","VALENCIA,CL 2,M,*,*",125,5,30,25,25,"2015-02-16"
"6KG POCKET","VALENCIA,CL 2,S,*,*",20,2,12,10,10,"2015-02-16"
"6KG POCKET","VALENCIA,CL 2,XL,*,*",30,1,6,30,30,"2015-02-16"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",200,5,50,40,40,"2015-02-19"
"15KG CARTON OPEN TOP","NAVEL,CL 1,*,72,*",76460,762,11430,100.34,130,"2015-02-19"
"15KG CARTON TELESCOPIC","CARA CARA NAVEL,CL 2,*,72,*",4740,34,510,139.41,140,"2015-02-19"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",17200,200,3000,86,90,"2015-02-19"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",5600,80,1200,70,70,"2015-02-19"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",5810,48,720,121.04,130,"2015-02-19"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",2550,19,285,134.21,150,"2015-02-19"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",42110,279,4185,150.93,160,"2015-02-19"
"6KG POCKET","NAVEL,CL 1,L,*,*",544,16,96,34,34,"2015-02-19"
"6KG POCKET","NAVEL,CL 1,XL,*,*",1904,56,336,34,34,"2015-02-19"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",3256,88,880,37,37,"2015-02-21"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S/M,*,*",1350,30,300,45,45,"2015-02-21"
"15KG CARTON OPEN TOP","NAVEL,CL 1,*,72,*",900,9,135,100,100,"2015-02-21"
"15KG CARTON TELESCOPIC","NAVEL,CL 2,*,72,*",500,5,75,100,100,"2015-02-21"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",5400,60,900,90,90,"2015-02-21"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",30720,256,3840,120,120,"2015-02-21"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",38520,321,4815,120,120,"2015-02-21"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",4560,38,570,120,120,"2015-02-21"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",3120,26,390,120,120,"2015-02-21"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",9900,66,990,150,150,"2015-02-21"
"6KG POCKET","NAVEL,CL 1,XL,*,*",2744,90,540,30.49,34,"2015-02-21"
"6KG POCKET","VALENCIA,CL 2,M,*,*",110,11,66,10,10,"2015-02-21"
"6KG POCKET","VALENCIA,CL 2,S,*,*",10110,339,2034,29.82,30,"2015-02-21"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",220,2,30,110,110,"2015-03-02"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",22400,160,2400,140,140,"2015-03-02"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",11200,80,1200,140,140,"2015-03-02"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",11200,80,1200,140,140,"2015-03-02"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",1540,11,165,140,140,"2015-03-02"
"6KG POCKET","NAVEL,CL 2,L,*,*",23455,667,4002,35.16,40,"2015-03-02"
"6KG POCKET","NAVEL,CL 2,M,*,*",14145,441,2646,32.07,40,"2015-03-02"
"6KG POCKET","NAVEL,CL 2,S,*,*",1890,63,378,30,30,"2015-03-02"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",180,6,60,30,30,"2015-03-06"
"15KG CARTON TELESCOPIC","NAVEL,CL 2,*,72,*",3000,60,900,50,50,"2015-03-06"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",2100,15,225,140,140,"2015-03-06"
"6KG POCKET","NAVEL,CL 2,L,*,*",62819,2102,12612,29.89,35,"2015-03-06"
"6KG POCKET","NAVEL,CL 2,M,*,*",11005,439,2634,25.07,35,"2015-03-06"
"6KG POCKET","NAVEL,CL 2,XL,*,*",21795,730,4380,29.86,35,"2015-03-06"
"7KG POCKET","NAVEL,CL 2,M,*,*",1080,34,238,31.76,35,"2015-03-06"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",3120,26,390,120,120,"2015-03-16"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",6480,54,810,120,120,"2015-03-16"
"6KG POCKET","NAVEL,CL 1,S,*,*",2700,134,804,20.15,25,"2015-03-16"
"6KG POCKET","NAVEL,CL 2,L,*,*",28456,1211,7266,23.5,30,"2015-03-16"
"6KG POCKET","NAVEL,CL 2,M,*,*",71195,2975,17850,23.93,30,"2015-03-16"
"6KG POCKET","NAVEL,CL 2,S,*,*",11730,570,3420,20.58,25,"2015-03-16"
