UnitMass,ProductName,tvaluesold,tquantitysold,tkgsold,avgprice,highestprice,date
18.50KG CARTON,"CRIPPS PINK,CL 1,100",200,1,18.5,200,200,06/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,70",200,1,18.5,200,200,06/11/14
18.50KG CARTON,"TOPRED,CL 1,180",1300,10,185,130,130,06/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,90",22700,108,1998,210.19,240,06/11/14
18.50KG CARTON,"STARKING,CL 1,80",17920,115,2127.5,155.83,230,06/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,135",1800,12,222,150,150,06/11/14
18.50KG CARTON,"TOPRED,CL 1,90",1730,12,222,144.17,190,06/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,90",2600,13,240.5,200,200,06/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,120",22800,136,2516,167.65,180,06/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,135",21810,136,2516,160.37,180,06/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,70",2380,14,259,170,220,06/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,165",1200,15,277.5,80,80,06/11/14
18.50KG CARTON,"STARKING,CL 1,90",29430,154,2849,191.1,210,06/11/14
18.50KG CARTON,"STARKING,CL 1,198",2340,18,333,130,130,06/11/14
18.50KG CARTON,"TOPRED,CL 1,100",220,2,37,110,110,06/11/14
18.50KG CARTON,"TOPRED,CL 1,110",2070,20,370,103.5,170,06/11/14
18.50KG CARTON,"TOPRED,CL 1,80",4320,22,407,196.36,220,06/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,135",43230,227,4199.5,190.44,200,06/11/14
18.50KG CARTON,"TOPRED,CL 1,198",3250,25,462.5,130,130,06/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,110",46535,275,5087.5,169.22,205,06/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,165",4060,28,518,145,145,06/11/14
18.50KG CARTON,"STARKING,CL 1,135",4760,28,518,170,170,06/11/14
18.50KG CARTON,"FUJI,CL 1,150",390,3,55.5,130,130,06/11/14
