"date","Variety","Count","Price","Value","Quantity"
2014-11-06,"CRIPPS PINK","80-90",204,3670,18
2014-11-06,"CRIPPS PINK","100-110",200,200,1
2014-11-06,"CRIPPS PINK","120-135",181,10150,56
2014-11-06,"CRIPPS PINK","150-165-198",170,1360,8
2014-11-06,"CRIPPS RED","80-90",221,26910,122
2014-11-06,"CRIPPS RED","100-110",205,22910,112
2014-11-06,"CRIPPS RED","120-135",193,58950,306
2014-11-06,"TOPRED","80-90",167,7350,44
2014-11-06,"TOPRED","100-110",104,2290,22
2014-11-06,"TOPRED","120-135",173,6740,39
2014-11-06,"TOPRED","150-165-198",130,3640,28
2014-11-06,"GOLDEN DELICIOUS","80-90",207,34220,165
2014-11-06,"GOLDEN DELICIOUS","100-110",176,57745,329
2014-11-06,"GOLDEN DELICIOUS","120-135",164,44610,272
2014-11-06,"GOLDEN DELICIOUS","150-165-198",145,4060,28
2014-11-06,"STARKING","80-90",176,47350,269
2014-11-06,"STARKING","100-110",201,11040,55
2014-11-06,"STARKING","120-135",173,5710,33
2014-11-06,"STARKING","150-165-198",135,3520,26
2014-11-06,"GRANNY SMITH","80-90",180,14790,82
2014-11-06,"GRANNY SMITH","100-110",182,16420,90
2014-11-06,"GRANNY SMITH","120-135",164,3120,19
2014-11-06,"GRANNY SMITH","150-165-198",80,1840,23
2014-11-06,"FUJI","150-165-198",130,390,3
2014-11-10,"CRIPPS PINK","80-90",225,900,4
2014-11-10,"CRIPPS PINK","100-110",188,31640,168
2014-11-10,"CRIPPS PINK","120-135",167,58110,349
2014-11-10,"CRIPPS RED","80-90",220,1100,5
2014-11-10,"CRIPPS RED","100-110",216,66600,309
2014-11-10,"CRIPPS RED","120-135",190,1140,6
2014-11-10,"TOPRED","80-90",204,51970,255
2014-11-10,"TOPRED","100-110",188,30525,162
2014-11-10,"TOPRED","120-135",126,10620,84
2014-11-10,"GOLDEN DELICIOUS","80-90",228,12560,55
2014-11-10,"GOLDEN DELICIOUS","100-110",190,76220,401
2014-11-10,"GOLDEN DELICIOUS","120-135",173,113005,654
2014-11-10,"GOLDEN DELICIOUS","150-165-198",140,420,3
2014-11-10,"STARKING","80-90",176,49420,281
2014-11-10,"STARKING","100-110",183,17350,95
2014-11-10,"STARKING","120-135",107,640,6
2014-11-10,"GRANNY SMITH","80-90",216,4110,19
2014-11-10,"GRANNY SMITH","100-110",201,36780,183
2014-11-10,"GRANNY SMITH","120-135",177,162350,917
2014-11-10,"ROYAL GALA","80-90",100,800,8
2014-11-10,"FUJI","80-90",210,420,2
2014-11-10,"FUJI","100-110",154,6140,40
2014-11-10,"FUJI","120-135",190,1330,7
2014-11-10,"FUJI","150-165-198",100,200,2
2014-11-12,"CRIPPS PINK","80-90",199,1390,7
2014-11-12,"CRIPPS PINK","100-110",192,770,4
2014-11-12,"CRIPPS PINK","120-135",193,6360,33
2014-11-12,"CRIPPS PINK","150-165-198",177,28490,161
2014-11-12,"CRIPPS RED","80-90",216,4330,20
2014-11-12,"CRIPPS RED","100-110",200,200,1
2014-11-12,"TOPRED","80-90",188,14850,79
2014-11-12,"TOPRED","100-110",211,17330,82
2014-11-12,"TOPRED","120-135",185,12740,69
2014-11-12,"TOPRED","150-165-198",178,2140,12
2014-11-12,"GOLDEN DELICIOUS","80-90",221,9940,45
2014-11-12,"GOLDEN DELICIOUS","100-110",202,27680,137
2014-11-12,"GOLDEN DELICIOUS","120-135",177,114580,647
2014-11-12,"GOLDEN DELICIOUS","150-165-198",120,480,4
2014-11-12,"STARKING","80-90",193,40710,211
2014-11-12,"STARKING","100-110",200,22240,111
2014-11-12,"STARKING","120-135",180,3960,22
2014-11-12,"STARKING","150-165-198",150,16800,112
2014-11-12,"GRANNY SMITH","80-90",219,3730,17
2014-11-12,"GRANNY SMITH","100-110",202,12130,60
2014-11-12,"GRANNY SMITH","120-135",180,3780,21
2014-11-12,"GRANNY SMITH","150-165-198",161,9810,61
2014-11-12,"FUJI","80-90",200,1400,7
2014-11-12,"FUJI","100-110",180,720,4
2014-11-12,"BRAEBURN","100-110",120,13440,112
2014-11-13,"CRIPPS PINK","80-90",207,4140,20
2014-11-13,"CRIPPS PINK","100-110",210,210,1
2014-11-13,"CRIPPS PINK","120-135",70,630,9
2014-11-13,"CRIPPS PINK","150-165-198",175,19600,112
2014-11-13,"CRIPPS RED","80-90",80,2160,27
2014-11-13,"CRIPPS RED","120-135",80,80,1
2014-11-13,"TOPRED","80-90",154,20380,132
2014-11-13,"TOPRED","100-110",216,56500,261
2014-11-13,"TOPRED","120-135",191,52760,276
2014-11-13,"GOLDEN DELICIOUS","80-90",185,31440,170
2014-11-13,"GOLDEN DELICIOUS","100-110",200,55080,276
2014-11-13,"GOLDEN DELICIOUS","120-135",168,133965,799
2014-11-13,"GOLDEN DELICIOUS","150-165-198",148,70785,479
2014-11-13,"STARKING","80-90",168,23040,137
2014-11-13,"STARKING","100-110",195,42490,218
2014-11-13,"STARKING","120-135",180,26480,147
2014-11-13,"STARKING","150-165-198",150,150,1
2014-11-13,"GRANNY SMITH","80-90",220,1980,9
2014-11-13,"GRANNY SMITH","100-110",197,28000,142
2014-11-13,"GRANNY SMITH","150-165-198",152,4550,30
2014-11-13,"FUJI","80-90",191,64490,337
2014-11-13,"FUJI","100-110",190,570,3
2014-11-13,"FUJI","120-135",200,33600,168
2014-11-14,"CRIPPS PINK","80-90",172,2060,12
2014-11-14,"CRIPPS PINK","100-110",199,12150,61
2014-11-14,"CRIPPS PINK","120-135",183,14820,81
2014-11-14,"CRIPPS RED","80-90",225,450,2
2014-11-14,"TOPRED","80-90",231,50320,218
2014-11-14,"TOPRED","100-110",211,35500,168
2014-11-14,"TOPRED","120-135",188,17510,93
2014-11-14,"TOPRED","150-165-198",153,460,3
2014-11-14,"GOLDEN DELICIOUS","80-90",194,12430,64
2014-11-14,"GOLDEN DELICIOUS","100-110",181,12850,71
2014-11-14,"GOLDEN DELICIOUS","120-135",175,99300,566
2014-11-14,"GOLDEN DELICIOUS","150-165-198",150,13200,88
2014-11-14,"STARKING","80-90",193,42020,218
2014-11-14,"STARKING","100-110",201,49910,248
2014-11-14,"STARKING","120-135",181,9070,50
2014-11-14,"STARKING","150-165-198",160,160,1
2014-11-14,"GRANNY SMITH","80-90",207,3520,17
2014-11-14,"GRANNY SMITH","100-110",200,9220,46
2014-11-14,"GRANNY SMITH","120-135",180,900,5
