"Date","Variety","Count","Container","Price","Value","Quantity"
2014-10-30,"DELTA SEEDLESS","Cl1 72","15KG CARTON TELESCOPIC",72,14688,204
2014-10-30,"DELTA SEEDLESS","Cl1 88","15KG CARTON TELESCOPIC",70,16800,240
2014-10-30,"MIDKNIGHT","Cl1 72","15KG CARTON TELESCOPIC",72,32667,453
2014-10-30,"MIDKNIGHT","Cl1 88","15KG CARTON TELESCOPIC",70,5816,83
2014-10-30,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",80,1920,24
2014-10-30,"VALENCIA","Cl1 56-60","15KG CARTON TELESCOPIC",79,13035,165
2014-10-30,"VALENCIA","Cl1 64","15KG CARTON TELESCOPIC",78,41175,525
2014-10-30,"VALENCIA","Cl1 72","15KG CARTON TELESCOPIC",80,19460,244
2014-10-30,"VALENCIA","Cl1 88","15KG CARTON TELESCOPIC",75,300,4
2014-10-30,"VALENCIA","Cl1 M/L","7KG POCKET",15,713,49
2014-11-06,"NAVEL","Cl1 40-48","15KG CARTON OPEN TOP",85,340,4
2014-11-06,"NAVEL","Cl1 40-48","15KG CARTON TELESCOPIC",90,1170,13
2014-11-06,"NAVEL","Cl1 64","15KG CARTON TELESCOPIC",86,9000,105
2014-11-06,"MIDKNIGHT","Cl1 88","15KG CARTON TELESCOPIC",72,432,6
2014-11-06,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",80,1040,13
2014-11-06,"VALENCIA","Cl1 56-60","15KG CARTON OPEN TOP",78,44810,576
2014-11-06,"VALENCIA","Cl1 56-60","15KG CARTON TELESCOPIC",80,20000,250
2014-11-06,"VALENCIA","Cl1 64","15KG CARTON TELESCOPIC",80,2240,28
2014-11-06,"VALENCIA","Cl1 88","15KG CARTON TELESCOPIC",77,230,3
2014-11-10,"NAVEL","Cl1 40-48","15KG CARTON OPEN TOP",90,90,1
2014-11-10,"NAVEL","Cl1 40-48","15KG CARTON TELESCOPIC",90,180,2
2014-11-10,"NAVEL","Cl1 56-60","15KG CARTON TELESCOPIC",85,850,10
2014-11-10,"MIDKNIGHT","Cl1 72","15KG CARTON TELESCOPIC",77,995,13
2014-11-10,"MIDKNIGHT","Cl1 88","15KG CARTON TELESCOPIC",60,720,12
2014-11-10,"MIDKNIGHT","Cl1 M/L","6KG POCKET",20,2946,146
2014-11-10,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",85,170,2
2014-11-10,"VALENCIA","Cl1 56-60","15KG CARTON OPEN TOP",85,8435,99
2014-11-10,"VALENCIA","Cl1 56-60","15KG CARTON TELESCOPIC",73,2700,37
2014-11-10,"VALENCIA","Cl1 64","15KG CARTON TELESCOPIC",80,6640,83
2014-11-10,"VALENCIA","Cl1 72","15KG CARTON TELESCOPIC",80,12800,160
2014-11-10,"VALENCIA","Cl1 88","15KG CARTON TELESCOPIC",80,6480,81
2014-11-10,"VALENCIA","Cl1 M/L","2KG POCKET",2,1320,660
2014-11-12,"NAVEL","Cl1 40-48","15KG CARTON TELESCOPIC",83,2421,29
2014-11-12,"NAVEL","Cl1 56-60","15KG CARTON TELESCOPIC",84,29058,346
2014-11-12,"NAVEL","Cl1 64","15KG CARTON TELESCOPIC",83,13280,160
2014-11-12,"DELTA SEEDLESS","Cl1 88","15KG CARTON TELESCOPIC",75,150,2
2014-11-12,"MIDKNIGHT","Cl1 64","15KG CARTON TELESCOPIC",81,2195,27
2014-11-12,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",81,21430,266
2014-11-12,"VALENCIA","Cl1 56-60","15KG CARTON OPEN TOP",85,6995,82
2014-11-12,"VALENCIA","Cl1 56-60","15KG CARTON TELESCOPIC",80,11520,144
2014-11-12,"VALENCIA","Cl1 64","15KG CARTON TELESCOPIC",80,11200,140
2014-11-12,"VALENCIA","Cl1 72","15KG CARTON TELESCOPIC",80,46400,580
2014-11-12,"VALENCIA","Cl1 88","15KG CARTON TELESCOPIC",80,17025,213
2014-11-13,"NAVEL","Cl1 40-48","15KG CARTON OPEN TOP",90,180,2
2014-11-13,"NAVEL","Cl1 40-48","15KG CARTON TELESCOPIC",86,1210,14
2014-11-13,"NAVEL","Cl1 56-60","15KG CARTON TELESCOPIC",84,7985,95
2014-11-13,"MIDKNIGHT","Cl1 64","15KG CARTON TELESCOPIC",82,820,10
2014-11-13,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",81,3545,44
2014-11-13,"VALENCIA","Cl1 56-60","15KG CARTON OPEN TOP",85,7930,93
2014-11-13,"VALENCIA","Cl1 88","15KG CARTON TELESCOPIC",73,83850,1146
2014-11-13,"VALENCIA","Cl1 S/XS","3KG POCKET",5,40,8
2014-11-14,"NAVEL","Cl1 40-48","15KG CARTON OPEN TOP",84,3785,45
2014-11-14,"NAVEL","Cl1 40-48","15KG CARTON TELESCOPIC",85,1795,21
2014-11-14,"NAVEL","Cl1 56-60","15KG CARTON TELESCOPIC",90,90,1
2014-11-14,"DELTA SEEDLESS","Cl1 88","15KG CARTON TELESCOPIC",72,5910,82
2014-11-14,"MIDKNIGHT","Cl1 64","15KG CARTON TELESCOPIC",80,2250,28
2014-11-14,"MIDKNIGHT","Cl1 M/L","6KG POCKET",4,256,64
2014-11-14,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",78,9150,117
2014-11-14,"VALENCIA","Cl1 56-60","15KG CARTON OPEN TOP",73,69560,956
2014-11-14,"VALENCIA","Cl1 56-60","15KG CARTON TELESCOPIC",80,1200,15
2014-11-14,"VALENCIA","Cl1 64","15KG CARTON TELESCOPIC",80,6400,80
2014-11-14,"VALENCIA","Cl1 88","15KG CARTON TELESCOPIC",73,35190,482
2014-11-17,"NAVEL","Cl1 40-48","15KG CARTON TELESCOPIC",85,1020,12
2014-11-17,"NAVEL","Cl1 56-60","15KG CARTON TELESCOPIC",85,1445,17
2014-11-17,"DELTA SEEDLESS","Cl1 88","15KG CARTON TELESCOPIC",75,23250,310
2014-11-17,"MIDKNIGHT","Cl1 56-60","15KG CARTON TELESCOPIC",80,5990,75
2014-11-17,"MIDKNIGHT","Cl1 72","15KG CARTON TELESCOPIC",78,5570,71
2014-11-17,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",56,8200,146
2014-11-17,"VALENCIA","Cl1 56-60","15KG CARTON TELESCOPIC",80,5600,70
2014-11-17,"VALENCIA","Cl1 64","15KG CARTON TELESCOPIC",80,4160,52
2014-11-17,"VALENCIA","Cl1 72","15KG CARTON TELESCOPIC",80,6400,80
2014-11-17,"VALENCIA","Cl1 88","15KG CARTON TELESCOPIC",75,825,11
2014-11-19,"NAVEL","Cl1 40-48","15KG CARTON TELESCOPIC",84,13440,160
2014-11-19,"DELTA SEEDLESS","Cl1 64","15KG CARTON TELESCOPIC",85,85,1
2014-11-19,"VALENCIA","Cl1 40-48","15KG CARTON TELESCOPIC",80,4620,58
