"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",50,"5.00","50.00",10,10,2015-03-11
"6KG POCKET","NAVEL,CL 1,M,*,*",1022,"32.00","192.00",31.94,32,2015-03-11
"6KG POCKET","NAVEL,CL 1,S,*,*",240,"8.00","48.00",30,30,2015-03-11
"6KG POCKET","NAVEL,CL 2,L,*,*",17950,"757.00","4542.00",23.71,30,2015-03-11
"6KG POCKET","VALENCIA,CL 2,L,*,*",37598,"1340.00","8040.00",28.06,32,2015-03-11
"6KG POCKET","VALENCIA,CL 2,M,*,*",69695,"2506.00","15036.00",27.81,30,2015-03-11
"6KG POCKET","VALENCIA,CL 2,S,*,*",17860,"760.00","4560.00",23.5,25,2015-03-11
"6KG POCKET","VALENCIA,CL 2,XL,*,*",36645,"1300.00","7800.00",28.19,35,2015-03-11
"7KG POCKET","NAVEL,CL 2,M,*,*",150,"6.00","42.00",25,25,2015-03-11
"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",2640,"88.00","880.00",30,30,2015-03-13
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",12800,"80.00","1200.00",160,160,2015-03-13
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",13690,"93.00","1395.00",147.2,150,2015-03-13
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",8710,"67.00","1005.00",130,130,2015-03-13
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",11000,"88.00","1320.00",125,125,2015-03-13
"6KG POCKET","NAVEL,CL 1,M,*,*",3960,"132.00","792.00",30,30,2015-03-13
"6KG POCKET","NAVEL,CL 1,S,*,*",5520,"224.00","1344.00",24.64,30,2015-03-13
"6KG POCKET","NAVEL,CL 2,L,*,*",56809,"2234.00","13404.00",25.43,35,2015-03-13
"6KG POCKET","NAVEL,CL 2,M,*,*",49719,"2028.00","12168.00",24.52,32,2015-03-13
"6KG POCKET","NAVEL,CL 2,S,*,*",38771,"1798.00","10788.00",21.56,25,2015-03-13
"6KG POCKET","NAVEL,CL 2,XL,*,*",36246,"1358.00","8148.00",26.69,35,2015-03-13
"6KG POCKET","VALENCIA,CL 2,L,*,*",3250,"130.00","780.00",25,25,2015-03-13
"6KG POCKET","VALENCIA,CL 2,M,*,*",130,"6.00","36.00",21.67,25,2015-03-13
"6KG POCKET","VALENCIA,CL 2,S,*,*",21919,"980.00","5880.00",22.37,25,2015-03-13
"6KG POCKET","VALENCIA,CL 2,XL,*,*",6500,"260.00","1560.00",25,25,2015-03-13
"7KG POCKET","NAVEL,CL 1,L,*,*",7776,"243.00","1701.00",32,32,2015-03-13
"7KG POCKET","NAVEL,CL 1,M,*,*",11040,"368.00","2576.00",30,30,2015-03-13
"7KG POCKET","NAVEL,CL 2,M,*,*",510,"18.00","126.00",28.33,30,2015-03-13
