"StudentID","StudentGender","StudentEthnic","GradeName","TermName","MeasurementScaleName","TestName","TestTypeName","TestRITScore","TestStdErr","TestPercentile","TestStartDate","InstitutionName","RITtoReadingScore","GoalRITScore1","GoalAdjective1","GoalName1","GoalRITScore2","GoalAdjective2","GoalName2","GoalRITScore3","GoalAdjective3","GoalName3","GoalRITScore4","GoalAdjective4","GoalName4","GoalRITScore5","GoalAdjective5","GoalName5","GoalRITScore6","GoalAdjective6","GoalName6","GoalRITScore7","GoalAdjective7","GoalName7","RITtoReadingMin","RITtoReadingMax"
1374,"M","Unknown",3,"Fall 2009","Reading","Reading Survey w/ Goals 2-5 AERO V1.1","Survey with Goals",183,3.3,32,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",290,188,"AV","Reading Process",181,"LO","Literary Texts",179,"LO","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,340
1181,"F","Unknown",5,"Fall 2009","Reading","Reading Survey w/ Goals 2-5 AERO V1.1","Survey with Goals",204,3.4,41,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",669,209,"AV","Reading Process",195,"LO","Literary Texts",208,"AV","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,719
1182,"F","Unknown",5,"Fall 2009","Reading","Reading Survey w/ Goals 2-5 AERO V1.1","Survey with Goals",224,3.4,88,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",1040,230,"HI","Reading Process",214,"HI","Literary Texts",229,"HI","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,1090
1556,"M","Unknown",4,"Fall 2009","Reading","Reading Survey w/ Goals 2-5 AERO V1.1","Survey with Goals",165,3.7,1,2009-11-23,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,166,"LO","Reading Process",159,"LO","Literary Texts",170,"LO","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183,"F","Unknown",5,"Fall 2009","Reading","Reading Survey w/ Goals 2-5 AERO V1.1","Survey with Goals",209,3.3,55,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",761,206,"AV","Reading Process",208,"AV","Literary Texts",213,"AV","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,811
1395,"F","Unknown",3,"Fall 2009","Reading","Reading Survey w/ Goals 2-5 AERO V1.1","Survey with Goals",196,3.4,66,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",532,190,"AV","Reading Process",202,"HI","Literary Texts",195,"AV","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,582
1218,"M","Unknown",5,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",224,3,88,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,222,"HI","Grammar / Usage",215,"HI","Spell / Punctuate / Capitalize",232,"HI","Paragraphs & Sentences",228,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,"M","Unknown",3,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",194,3,58,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,202,"HI","Grammar / Usage",185,"AV","Spell / Punctuate / Capitalize",194,"AV","Paragraphs & Sentences",197,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1558,"F","Unknown",4,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",200,2.9,47,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,206,"AV","Grammar / Usage",204,"AV","Spell / Punctuate / Capitalize",196,"AV","Paragraphs & Sentences",194,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2186,"M","Unknown",4,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",212,3,79,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,216,"HI","Grammar / Usage",217,"HI","Spell / Punctuate / Capitalize",207,"HI","Paragraphs & Sentences",211,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1204,"M","Unknown",5,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",207,3,47,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,211,"AV","Grammar / Usage",208,"AV","Spell / Punctuate / Capitalize",205,"AV","Paragraphs & Sentences",205,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1193,"F","Unknown",5,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",191,2.9,10,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,186,"LO","Grammar / Usage",193,"LO","Spell / Punctuate / Capitalize",188,"LO","Paragraphs & Sentences",199,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1162,"M","Unknown",4,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",206,2.9,64,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,209,"HI","Grammar / Usage",203,"AV","Spell / Punctuate / Capitalize",208,"HI","Paragraphs & Sentences",204,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1285,"M","Unknown",7,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",219,2.9,60,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,208,"LO","Grammar / Usage",222,"HI","Spell / Punctuate / Capitalize",226,"HI","Paragraphs & Sentences",222,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2100,"F","Unknown",9,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",235,2.9,86,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,230,"HI","Grammar / Usage",242,"HI","Spell / Punctuate / Capitalize",228,"HI","Paragraphs & Sentences",238,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1818,"F","Unknown",4,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",213,3,81,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,207,"HI","Grammar / Usage",222,"HI","Spell / Punctuate / Capitalize",214,"HI","Paragraphs & Sentences",208,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,"M","Unknown",4,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",212,3,79,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,211,"HI","Grammar / Usage",213,"HI","Spell / Punctuate / Capitalize",215,"HI","Paragraphs & Sentences",207,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,"F","Unknown",3,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",201,2.9,75,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,213,"HI","Grammar / Usage",190,"AV","Spell / Punctuate / Capitalize",202,"HI","Paragraphs & Sentences",199,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1267,"M","Unknown",7,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",217,3,54,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,209,"LO","Grammar / Usage",213,"AV","Spell / Punctuate / Capitalize",215,"AV","Paragraphs & Sentences",230,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1537,"F","Unknown",8,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",217,3,45,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,210,"LO","Grammar / Usage",211,"LO","Spell / Punctuate / Capitalize",222,"AV","Paragraphs & Sentences",225,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1264,"F","Unknown",7,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",226,3,78,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,236,"HI","Grammar / Usage",210,"LO","Spell / Punctuate / Capitalize",231,"HI","Paragraphs & Sentences",228,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2096,"F","Unknown",9,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",231,3,78,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,223,"AV","Grammar / Usage",234,"HI","Spell / Punctuate / Capitalize",227,"HI","Paragraphs & Sentences",240,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2095,"F","Unknown",9,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",235,3,86,2009-11-20,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,238,"HI","Grammar / Usage",227,"HI","Spell / Punctuate / Capitalize",242,"HI","Paragraphs & Sentences",233,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284,"M","Unknown",7,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",225,2.9,76,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,223,"HI","Grammar / Usage",220,"AV","Spell / Punctuate / Capitalize",230,"HI","Paragraphs & Sentences",226,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1198,"F","Unknown",5,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",216,3,72,2009-11-18,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,208,"AV","Grammar / Usage",211,"AV","Spell / Punctuate / Capitalize",223,"HI","Paragraphs & Sentences",220,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1780,"M","Unknown",8,"Fall 2009","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",214,3,36,2009-11-19,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,217,"AV","Grammar / Usage",215,"AV","Spell / Punctuate / Capitalize",210,"LO","Paragraphs & Sentences",215,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
