"StudentID","StudentGender","StudentEthnic","GradeName","TermName","MeasurementScaleName","TestName","TestTypeName","TestRITScore","TestStdErr","TestPercentile","TestStartDate","InstitutionName","RITtoReadingScore","GoalRITScore1","GoalAdjective1","GoalName1","GoalRITScore2","GoalAdjective2","GoalName2","GoalRITScore3","GoalAdjective3","GoalName3","GoalRITScore4","GoalAdjective4","GoalName4","GoalRITScore5","GoalAdjective5","GoalName5","GoalRITScore6","GoalAdjective6","GoalName6","GoalRITScore7","GoalAdjective7","GoalName7","RITtoReadingMin","RITtoReadingMax"
1374,"M","Unknown",6,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",217,3,64,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,220,"HI","Grammar / Usage",214,"AV","Spell / Punctuate / Capitalize",216,"AV","Paragraphs & Sentences",217,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1181,"F","Unknown",8,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",228,2.9,76,2012-09-17,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,225,"HI","Grammar / Usage",235,"HI","Spell / Punctuate / Capitalize",228,"HI","Paragraphs & Sentences",223,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,"F","Unknown",8,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",227,2.9,74,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,227,"HI","Grammar / Usage",226,"HI","Spell / Punctuate / Capitalize",229,"HI","Paragraphs & Sentences",225,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91396,"F","Unknown",6,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",222,3,77,2012-09-21,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,220,"HI","Grammar / Usage",224,"HI","Spell / Punctuate / Capitalize",221,"HI","Paragraphs & Sentences",225,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,"M","Unknown",9,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",210,3,21,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,215,"AV","Grammar / Usage",210,"LO","Spell / Punctuate / Capitalize",207,"LO","Paragraphs & Sentences",209,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"F","Unknown",7,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",228,3,82,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,230,"HI","Grammar / Usage",219,"AV","Spell / Punctuate / Capitalize",230,"HI","Paragraphs & Sentences",231,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"M","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",191,3,24,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,191,"LO","Grammar / Usage",185,"LO","Spell / Punctuate / Capitalize",203,"AV","Paragraphs & Sentences",184,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,"M","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",195,3,34,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,200,"AV","Grammar / Usage",183,"LO","Spell / Punctuate / Capitalize",203,"AV","Paragraphs & Sentences",195,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514,"F","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",201,3,50,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,206,"AV","Grammar / Usage",198,"AV","Spell / Punctuate / Capitalize",198,"AV","Paragraphs & Sentences",202,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,"M","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",197,3,39,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,205,"AV","Grammar / Usage",198,"AV","Spell / Punctuate / Capitalize",192,"LO","Paragraphs & Sentences",195,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,"M","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",195,2.9,34,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,196,"AV","Grammar / Usage",192,"LO","Spell / Punctuate / Capitalize",194,"LO","Paragraphs & Sentences",199,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,"M","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",203,3,56,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,204,"AV","Grammar / Usage",206,"AV","Spell / Punctuate / Capitalize",207,"HI","Paragraphs & Sentences",194,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,"M","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",213,3,81,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,215,"HI","Grammar / Usage",218,"HI","Spell / Punctuate / Capitalize",208,"HI","Paragraphs & Sentences",211,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"M","Unknown",5,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",206,3,44,2012-09-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,214,"HI","Grammar / Usage",196,"LO","Spell / Punctuate / Capitalize",205,"AV","Paragraphs & Sentences",209,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"F","Unknown",3,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",205,2.9,83,2012-09-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,206,"HI","Grammar / Usage",208,"HI","Spell / Punctuate / Capitalize",204,"HI","Paragraphs & Sentences",201,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,"M","Unknown",5,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",211,3,59,2012-09-13,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,210,"AV","Grammar / Usage",212,"AV","Spell / Punctuate / Capitalize",205,"AV","Paragraphs & Sentences",218,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2173,"F","Unknown",5,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",218,3,77,2012-09-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,207,"AV","Grammar / Usage",224,"HI","Spell / Punctuate / Capitalize",217,"HI","Paragraphs & Sentences",224,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,"M","Unknown",3,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",183,3,29,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,193,"AV","Grammar / Usage",180,"LO","Spell / Punctuate / Capitalize",179,"LO","Paragraphs & Sentences",176,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,"F","Unknown",4,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",210,2.9,74,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,216,"HI","Grammar / Usage",203,"AV","Spell / Punctuate / Capitalize",215,"HI","Paragraphs & Sentences",205,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2036,"F","Unknown",3,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",192,3.1,52,2012-09-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,190,"AV","Grammar / Usage",188,"AV","Spell / Punctuate / Capitalize",190,"AV","Paragraphs & Sentences",198,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,"F","Unknown",8,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",206,2.9,17,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,213,"LO","Grammar / Usage",203,"LO","Spell / Punctuate / Capitalize",210,"LO","Paragraphs & Sentences",196,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,"M","Unknown",6,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",178,3.1,1,2012-09-21,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,172,"LO","Grammar / Usage",194,"LO","Spell / Punctuate / Capitalize",172,"LO","Paragraphs & Sentences",169,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,"M","Unknown",6,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",205,3,29,2012-09-21,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,205,"LO","Grammar / Usage",204,"LO","Spell / Punctuate / Capitalize",207,"AV","Paragraphs & Sentences",202,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,"F","Unknown",3,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",207,3,86,2012-09-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,213,"HI","Grammar / Usage",206,"HI","Spell / Punctuate / Capitalize",215,"HI","Paragraphs & Sentences",195,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"F","Unknown",3,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",208,3,88,2012-09-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,210,"HI","Grammar / Usage",205,"HI","Spell / Punctuate / Capitalize",207,"HI","Paragraphs & Sentences",209,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,"F","Unknown",3,"Fall 2012","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",199,2.9,71,2012-09-12,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,198,"HI","Grammar / Usage",197,"AV","Spell / Punctuate / Capitalize",193,"AV","Paragraphs & Sentences",208,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
