"StudentID","StudentGender","StudentEthnic","GradeName","TermName","MeasurementScaleName","TestName","TestTypeName","TestRITScore","TestStdErr","TestPercentile","TestStartDate","InstitutionName","RITtoReadingScore","GoalRITScore1","GoalAdjective1","GoalName1","GoalRITScore2","GoalAdjective2","GoalName2","GoalRITScore3","GoalAdjective3","GoalName3","GoalRITScore4","GoalAdjective4","GoalName4","GoalRITScore5","GoalAdjective5","GoalName5","GoalRITScore6","GoalAdjective6","GoalName6","GoalRITScore7","GoalAdjective7","GoalName7","RITtoReadingMin","RITtoReadingMax"
1374,"M","    ",6,"Spring 2013","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",227,3,53,2013-04-25,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,229,"AV","Computation",233,"HI","Number Sense & Numeration",215,"LO","Geometry",235,"HI","Measurement",232,"AV","Statistics & Probability",239,"HI","Algebraic Concepts",211,"LO","Problem Solving",NA,NA
1394,"M","    ",6,"Spring 2013","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",196,2.9,3,2013-04-25,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,192,"LO","Computation",199,"LO","Number Sense & Numeration",192,"LO","Geometry",185,"LO","Measurement",197,"LO","Statistics & Probability",204,"LO","Algebraic Concepts",204,"LO","Problem Solving",NA,NA
1182,"F","    ",8,"Spring 2013","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",240,2.9,62,2013-05-22,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,236,"AV","Computation",236,"AV","Number Sense & Numeration",252,"HI","Geometry",237,"AV","Measurement",240,"AV","Statistics & Probability",242,"AV","Algebraic Concepts",236,"AV","Problem Solving",NA,NA
1184,"M","    ",8,"Spring 2013","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",239,3,60,2013-04-25,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,228,"AV","Computation",224,"LO","Number Sense & Numeration",235,"AV","Geometry",253,"HI","Measurement",242,"AV","Statistics & Probability",253,"HI","Algebraic Concepts",230,"AV","Problem Solving",NA,NA
91396,"F","    ",6,"Spring 2013","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",237,3,76,2013-05-14,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,215,"LO","Computation",230,"AV","Number Sense & Numeration",251,"HI","Geometry",240,"HI","Measurement",246,"HI","Statistics & Probability",238,"HI","Algebraic Concepts",237,"HI","Problem Solving",NA,NA
1940,"F","    ",7,"Spring 2013","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",234,3,58,2013-04-25,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,249,"HI","Computation",217,"LO","Number Sense & Numeration",221,"LO","Geometry",235,"AV","Measurement",242,"HI","Statistics & Probability",236,"AV","Algebraic Concepts",246,"HI","Problem Solving",NA,NA
487,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",213,3,67,2013-04-30,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,210,"AV","Grammar / Usage",213,"HI","Spell / Punctuate / Capitalize",208,"AV","Paragraphs & Sentences",220,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",194,3,17,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,191,"LO","Grammar / Usage",196,"LO","Spell / Punctuate / Capitalize",196,"LO","Paragraphs & Sentences",192,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",215,3.1,72,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,224,"HI","Grammar / Usage",221,"HI","Spell / Punctuate / Capitalize",207,"AV","Paragraphs & Sentences",206,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",214,3.1,70,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,213,"HI","Grammar / Usage",227,"HI","Spell / Punctuate / Capitalize",211,"AV","Paragraphs & Sentences",202,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,"F","    ",5,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",218,2.9,65,2013-04-25,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,214,"AV","Grammar / Usage",226,"HI","Spell / Punctuate / Capitalize",215,"AV","Paragraphs & Sentences",216,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,"M","    ",10,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",229,2.9,66,2013-04-25,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,237,"HI","Grammar / Usage",218,"AV","Spell / Punctuate / Capitalize",229,"AV","Paragraphs & Sentences",231,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",193,3,15,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,197,"LO","Grammar / Usage",192,"LO","Spell / Punctuate / Capitalize",180,"LO","Paragraphs & Sentences",202,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",207,2.9,50,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,199,"LO","Grammar / Usage",208,"AV","Spell / Punctuate / Capitalize",216,"HI","Paragraphs & Sentences",206,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",217,3,77,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,209,"AV","Grammar / Usage",231,"HI","Spell / Punctuate / Capitalize",217,"HI","Paragraphs & Sentences",211,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",206,2.9,47,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,205,"AV","Grammar / Usage",207,"AV","Spell / Punctuate / Capitalize",211,"AV","Paragraphs & Sentences",198,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,"F","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",212,3.1,64,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,191,"LO","Grammar / Usage",211,"AV","Spell / Punctuate / Capitalize",220,"HI","Paragraphs & Sentences",227,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,"F","    ",9,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",227,3.1,65,2013-04-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,221,"AV","Grammar / Usage",229,"HI","Spell / Punctuate / Capitalize",228,"HI","Paragraphs & Sentences",232,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",166,3.1,1,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,163,"LO","Grammar / Usage",169,"LO","Spell / Punctuate / Capitalize",174,"LO","Paragraphs & Sentences",159,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",223,3.2,88,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,216,"HI","Grammar / Usage",232,"HI","Spell / Punctuate / Capitalize",218,"HI","Paragraphs & Sentences",225,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,"M","    ",3,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",183,3,11,2013-04-17,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,182,"LO","Grammar / Usage",181,"LO","Spell / Punctuate / Capitalize",184,"LO","Paragraphs & Sentences",186,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"M","    ",7,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",227,2.9,73,2013-05-09,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,225,"HI","Grammar / Usage",219,"AV","Spell / Punctuate / Capitalize",229,"HI","Paragraphs & Sentences",236,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,"M","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",205,3.1,44,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,201,"LO","Grammar / Usage",211,"AV","Spell / Punctuate / Capitalize",205,"AV","Paragraphs & Sentences",206,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,"M","    ",8,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",235,3,85,2013-04-15,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,223,"AV","Grammar / Usage",237,"HI","Spell / Punctuate / Capitalize",250,"HI","Paragraphs & Sentences",230,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,"F","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",226,2.9,92,2013-04-30,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,224,"HI","Grammar / Usage",229,"HI","Spell / Punctuate / Capitalize",224,"HI","Paragraphs & Sentences",227,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,"M","    ",3,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",201,3,52,2013-04-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,205,"AV","Grammar / Usage",190,"LO","Spell / Punctuate / Capitalize",213,"HI","Paragraphs & Sentences",195,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,"F","    ",4,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",223,2.9,88,2013-04-24,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,222,"HI","Grammar / Usage",223,"HI","Spell / Punctuate / Capitalize",229,"HI","Paragraphs & Sentences",218,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"F","    ",3,"Spring 2013","Language Usage","Language Survey w/ Goals AERO V2","Survey with Goals",205,2.9,63,2013-04-30,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,210,"HI","Grammar / Usage",206,"AV","Spell / Punctuate / Capitalize",205,"AV","Paragraphs & Sentences",201,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
