"StudentID","StudentGender","StudentEthnic","GradeName","TermName","MeasurementScaleName","TestName","TestTypeName","TestRITScore","TestStdErr","TestPercentile","TestStartDate","InstitutionName","RITtoReadingScore","GoalRITScore1","GoalAdjective1","GoalName1","GoalRITScore2","GoalAdjective2","GoalName2","GoalRITScore3","GoalAdjective3","GoalName3","GoalRITScore4","GoalAdjective4","GoalName4","GoalRITScore5","GoalAdjective5","GoalName5","GoalRITScore6","GoalAdjective6","GoalName6","GoalRITScore7","GoalAdjective7","GoalName7","RITtoReadingMin","RITtoReadingMax"
1220,"F",NA,6,"Winter 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",202,3,17,2010-02-08,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,207,"LO","Grammar / Usage",208,"LO","Spell / Punctuate / Capitalize",199,"LO","Paragraphs & Sentences",194,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1566,"F",NA,6,"Winter 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",215,2.9,52,2010-02-08,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,215,"AV","Grammar / Usage",215,"AV","Spell / Punctuate / Capitalize",213,"AV","Paragraphs & Sentences",218,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1221,"F",NA,6,"Winter 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",214,2.9,49,2010-02-08,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,219,"AV","Grammar / Usage",207,"LO","Spell / Punctuate / Capitalize",211,"AV","Paragraphs & Sentences",218,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,"M",NA,6,"Winter 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",212,2.9,43,2010-02-09,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,209,"AV","Grammar / Usage",221,"HI","Spell / Punctuate / Capitalize",209,"AV","Paragraphs & Sentences",207,"LO","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,"M",NA,6,"Winter 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",217,3,58,2010-02-08,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,222,"HI","Grammar / Usage",209,"AV","Spell / Punctuate / Capitalize",216,"AV","Paragraphs & Sentences",225,"HI","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111,"M",NA,6,"Winter 2010","Language Usage","Language Survey w/ Goals AERO V1.1","Survey with Goals",224,3.1,77,2010-02-08,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,233,"HI","Grammar / Usage",224,"HI","Spell / Punctuate / Capitalize",219,"AV","Paragraphs & Sentences",218,"AV","Genre / Purpose / Audience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567,"M",NA,6,"Winter 2010","Reading","Reading Survey w/ Goals 6+ AERO V1.1","Survey with Goals",236,3.3,94,2010-02-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",1245,232,"HI","Reading Process",242,"HI","Literary Texts",233,"HI","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1145,1295
2213,"M",NA,6,"Winter 2010","Reading","Reading Survey w/ Goals 6+ AERO V1.1","Survey with Goals",210,3.4,38,2010-02-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",786,207,"LO","Reading Process",213,"AV","Literary Texts",210,"AV","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,836
1861,"F",NA,6,"Winter 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",225,3,56,2010-02-10,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,228,"AV","Computation",230,"HI","Number Sense & Numeration",206,"LO","Geometry",223,"AV","Measurement",223,"AV","Statistics & Probability",228,"AV","Algebraic Concepts",238,"HI","Problem Solving",NA,NA
2014,"M",NA,6,"Winter 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",219,2.9,40,2010-02-11,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,210,"LO","Computation",230,"HI","Number Sense & Numeration",238,"HI","Geometry",211,"LO","Measurement",219,"AV","Statistics & Probability",227,"AV","Algebraic Concepts",207,"LO","Problem Solving",NA,NA
1567,"M",NA,6,"Winter 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",242,3.1,89,2010-02-11,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,252,"HI","Computation",240,"HI","Number Sense & Numeration",251,"HI","Geometry",236,"HI","Measurement",232,"HI","Statistics & Probability",249,"HI","Algebraic Concepts",236,"HI","Problem Solving",NA,NA
2213,"M",NA,6,"Winter 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",229,3,65,2010-02-10,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,231,"HI","Computation",231,"HI","Number Sense & Numeration",229,"AV","Geometry",225,"AV","Measurement",230,"HI","Statistics & Probability",232,"HI","Algebraic Concepts",222,"AV","Problem Solving",NA,NA
2124,"F",NA,6,"Winter 2010","Mathematics","Math Survey w/ Goals 6+ NWEA V4.1","Survey with Goals",214,3.1,29,2010-02-10,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",NA,207,"LO","Computation",222,"AV","Number Sense & Numeration",206,"LO","Geometry",220,"AV","Measurement",217,"AV","Statistics & Probability",220,"AV","Algebraic Concepts",203,"LO","Problem Solving",NA,NA
1231,"M",NA,6,"Winter 2010","Reading","Reading Survey w/ Goals 6+ AERO V1.1","Survey with Goals",221,3.3,68,2010-02-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",979,219,"AV","Reading Process",228,"HI","Literary Texts",215,"AV","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879,1029
1246,"F",NA,6,"Winter 2010","Reading","Reading Survey w/ Goals 6+ AERO V1.1","Survey with Goals",230,3.3,86,2010-02-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",1144,231,"HI","Reading Process",234,"HI","Literary Texts",226,"HI","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044,1194
2124,"F",NA,6,"Winter 2010","Reading","Reading Survey w/ Goals 6+ AERO V1.1","Survey with Goals",211,3.8,41,2010-02-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",795,221,"HI","Reading Process",209,"AV","Literary Texts",202,"LO","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,845
1861,"F",NA,6,"Winter 2010","Reading","Reading Survey w/ Goals 6+ AERO V1.1","Survey with Goals",217,3.4,57,2010-02-16,"AMERICAN INTERNATIONAL SCHOOL OF LUSAKA",900,212,"AV","Reading Process",218,"AV","Literary Texts",221,"HI","Nonfiction Texts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,950
